datetime,open,high,low,close,volume
2024-10-30 15:47:00,497.14999,497.14999,496.95001,497.10999,69571
2024-10-30 15:46:00,497.14001,497.20999,497.07001,497.15500,42707
2024-10-30 15:45:00,497.01999,497.29999,497.01990,497.14499,44040
2024-10-30 15:44:00,497.28000,497.28000,496.98001,497.02679,61406
2024-10-30 15:43:00,497.26001,497.33121,497.19009,497.29001,40092
2024-10-30 15:42:00,497.51001,497.51010,497.29001,497.29001,167647
2024-10-30 15:41:00,497.35999,497.55499,497.29999,497.48999,41186
2024-10-30 15:40:00,497.23999,497.39001,497.23999,497.39001,79885
2024-10-30 15:39:00,497.23001,497.28000,497.14999,497.23001,48591
2024-10-30 15:38:00,496.92999,497.28000,496.85999,497.22000,73507
2024-10-30 15:37:00,496.81070,496.96000,496.72000,496.92999,82360
2024-10-30 15:36:00,496.89999,496.92001,496.60999,496.79999,130051
2024-10-30 15:35:00,497.03000,497.05499,496.84000,496.91000,2194728
2024-10-30 15:34:00,497.04999,497.17001,497.01999,497.04999,35031
2024-10-30 15:33:00,497.28000,497.32001,497.03000,497.04999,61076
2024-10-30 15:32:00,497.32999,497.35999,497.21011,497.26999,147204
2024-10-30 15:31:00,497.19000,497.37000,497.19000,497.32001,29732
2024-10-30 15:30:00,497.23499,497.37000,497.16010,497.17001,65967
2024-10-31 23:23:00,1.08750,1.08773,1.08745,1.08754,
2024-10-31 23:22:00,1.08734,1.08755,1.08730,1.08750,
2024-10-31 23:21:00,1.08734,1.08744,1.08726,1.08733,
2024-10-31 23:20:00,1.08741,1.08745,1.08722,1.08735,
2024-10-31 23:19:00,1.08744,1.08749,1.08735,1.08743,
2024-10-31 23:18:00,1.08738,1.08748,1.08729,1.08741,
2024-10-31 23:17:00,1.08732,1.08751,1.08728,1.08738,
2024-10-31 23:16:00,1.08719,1.08740,1.08714,1.08732,
2024-10-31 23:15:00,1.08714,1.08723,1.08701,1.08712,
2024-10-31 23:14:00,1.08699,1.08722,1.08695,1.08716,
2024-10-31 23:13:00,1.08710,1.08709,1.08675,1.08694,
2024-10-31 23:12:00,1.08679,1.08708,1.08671,1.08704,
2024-10-31 23:11:00,1.08686,1.08691,1.08673,1.08680,
2024-10-31 23:10:00,1.08699,1.08705,1.08684,1.08688,
2024-10-31 23:09:00,1.08694,1.08704,1.08684,1.08698,
2024-10-31 23:08:00,1.08710,1.08714,1.08689,1.08693,
2024-10-31 23:07:00,1.08701,1.08717,1.08696,1.08712,
2024-10-31 23:06:00,1.08703,1.08713,1.08691,1.08698,
2024-10-31 23:05:00,1.08692,1.08707,1.08686,1.08701,
2024-10-31 23:04:00,1.08676,1.08696,1.08673,1.08690,
2024-10-31 23:03:00,1.08686,1.08692,1.08673,1.08677,
2024-10-31 23:02:00,1.08670,1.08694,1.08665,1.08689,
2024-10-31 23:01:00,1.08673,1.08677,1.08656,1.08668,
2024-10-31 23:00:00,1.08685,1.08698,1.08665,1.08672,
2024-10-31 22:59:00,1.08676,1.08685,1.08670,1.08678,
2024-10-31 22:58:00,1.08671,1.08683,1.08667,1.08675,
2024-10-31 22:57:00,1.08678,1.08687,1.08668,1.08672,
2024-10-31 22:56:00,1.08698,1.08704,1.08673,1.08682,
2024-10-31 22:55:00,1.08692,1.08702,1.08688,1.08696,
2024-10-31 22:54:00,1.08684,1.08698,1.08680,1.08691,
